# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/East,Y/North,Z/Altitude,Yaw,Pitch,Roll,Accuracy_(m),Error_(m),X_error,Y_error,Z_error,Error_(deg),Yaw_error,Pitch_error,Roll_error,X_est,Y_est,Z_est,Yaw_est,Pitch_est,Roll_est
IMG_2168.JPG,11.606719,50.964931,400.052700,,,,,7.364168,-5.629048,3.003386,-3.677562,,,,,11.606638,50.964958,396.375135,138.575638,13.064274,-7.587415
IMG_2169.JPG,11.606996,50.964860,399.832700,,,,,7.835583,-6.678232,2.165592,-3.479625,,,,,11.606901,50.964879,396.353071,127.277360,13.673332,-3.606432
IMG_2170.JPG,11.607270,50.964808,400.602700,,,,,6.396151,-5.158549,1.149674,-3.602550,,,,,11.607197,50.964818,397.000147,124.842396,16.117556,-3.807851
IMG_2171.JPG,11.607620,50.964818,401.842700,,,,,7.612234,-6.415948,-0.985309,-3.976291,,,,,11.607529,50.964810,397.866406,100.505259,16.179189,-5.713087
IMG_2172.JPG,11.608033,50.964922,406.522700,,,,,9.767093,-7.482087,-3.362046,-5.301991,,,,,11.607927,50.964892,401.220703,69.212130,16.643115,-4.796097
IMG_2173.JPG,11.608413,50.965030,409.872700,,,,,9.493190,-7.667003,-3.073454,-4.678848,,,,,11.608304,50.965003,405.193847,74.093701,13.744252,0.988805
IMG_2174.JPG,11.608813,50.965122,409.452700,,,,,9.271976,-8.005241,-2.811464,-3.739160,,,,,11.608699,50.965096,405.713534,77.653044,9.264313,0.445390
IMG_2175.JPG,11.609228,50.965206,407.002700,,,,,9.367749,-8.510076,-2.492569,-3.020005,,,,,11.609107,50.965184,403.982688,83.279846,11.403020,1.211731
IMG_2176.JPG,11.609667,50.965289,405.192700,,,,,10.034644,-9.052869,-2.503688,-3.531457,,,,,11.609539,50.965267,401.661236,90.221163,13.102113,8.288581
IMG_2177.JPG,11.610089,50.965378,405.732700,,,,,9.801556,-8.439762,-3.213524,-3.809749,,,,,11.609969,50.965349,401.922945,82.733699,15.795720,-0.461481
IMG_2178.JPG,11.610487,50.965467,406.332700,,,,,9.157414,-7.918813,-2.921459,-3.551860,,,,,11.610375,50.965441,402.780835,82.599670,15.985345,4.094345
IMG_2179.JPG,11.610884,50.965554,406.412700,,,,,8.888304,-7.594620,-2.882999,-3.607216,,,,,11.610776,50.965528,402.805479,85.106404,18.011490,1.360974
IMG_2180.JPG,11.611283,50.965635,408.052700,,,,,9.537656,-8.021744,-3.076902,-4.141397,,,,,11.611168,50.965607,403.911297,82.976680,16.425814,2.065271
